"imdbid","title","budget","gross","release_date","directors","producers","actors"
,"Kyaa Super Kool Hain Hum",,"60.77",,"Sachin Yardi","Ekta Kapoor, Shobha Kapoor","Anupam Kher, Neha Sharma, Riteish Deshmukh, Tusshar Kapoor"
,"Bhediya (film)","60.0","60.0",,"Amar Kaushik","Dinesh Vijan","Abhishek Banerjee, Deepak Dobriyal, Kriti Sanon, Varun Dhawan"
"0109010","1942: A Love Story","4.75E7","6.99E7",,"Vidhu Vinod Chopra","Vidhu Vinod Chopra",""
"tt14042066","Dobaaraa","30.0","6.77",,"Anurag Kashyap","Ekta Kapoor, Shobha Kapoor",""
"0375611","Black (2005 film)",,"6.66E8",,"Sanjay Leela Bhansali","Sanjay Leela Bhansali","Amitabh Bachchan, Rani Mukerji"
,"The Burning Train",,"6.5E7",,"Ravi Chopra","B. R. Chopra","Dharmendra, Hema Malini, Jeetendra, Neetu Kapoor, Parveen Babi, Vinod Khanna"
"0118751","Border (1997 film)","1.0E8","6.557E8",1997-06-13,"J. P. Dutta","J. P. Dutta","Akshaye Khanna, Jackie Shroff, Kulbhushan Kharbanda, Pooja Bhatt, Puneet Issar, Sharbani Mukherji, Sudesh Berry, Tabu"
,"Krrish (franchise)","1.43E9","6.25E9",2006-06-23,"Rakesh Roshan","Rakesh Roshan","Hrithik Roshan, Kangana Ranaut, Naseeruddin Shah, Priyanka Chopra, Rajpal Yadav, Rekha, Vivek Oberoi"
,"Krrish (franchise)","3.7E7","6.25E9",2013-11-01,"Rakesh Roshan","Rakesh Roshan","Hrithik Roshan, Kangana Ranaut, Naseeruddin Shah, Priyanka Chopra, Rajpal Yadav, Rekha, Vivek Oberoi"
,"Krrish (franchise)","1.43E9","6.25E9",2003-08-08,"Rakesh Roshan","Rakesh Roshan","Hrithik Roshan, Kangana Ranaut, Naseeruddin Shah, Priyanka Chopra, Rajpal Yadav, Rekha, Vivek Oberoi"
,"Krrish (franchise)","3.7E7","6.25E9",2003-08-08,"Rakesh Roshan","Rakesh Roshan","Hrithik Roshan, Kangana Ranaut, Naseeruddin Shah, Priyanka Chopra, Rajpal Yadav, Rekha, Vivek Oberoi"
,"Krrish (franchise)","3.7E7","6.25E9",2006-06-23,"Rakesh Roshan","Rakesh Roshan","Hrithik Roshan, Kangana Ranaut, Naseeruddin Shah, Priyanka Chopra, Rajpal Yadav, Rekha, Vivek Oberoi"
,"Krrish (franchise)","1.43E9","6.25E9",2013-11-01,"Rakesh Roshan","Rakesh Roshan","Hrithik Roshan, Kangana Ranaut, Naseeruddin Shah, Priyanka Chopra, Rajpal Yadav, Rekha, Vivek Oberoi"
,"Ugly (film)","4.5","6.24",,"Anurag Kashyap","Anurag Kashyap, Madhu Mantena, Vikas Bahl, Vikramaditya Motwane","Girish Kulkarni, Siddhanth Kapoor, Surveen Chawla, Tejaswini Kolhapure"
,"Mere Mehboob",,"6.0E7",,"H. S. Rawail","H. S. Rawail","Ashok Kumar, Nimmi, Rajendra Kumar, Sadhana Shivdasani"
,"Antim: The Final Truth","35.0","59.11",,"Mahesh Manjrekar","Salman Khan","Aayush Sharma, Jisshu Sengupta, Mahima Makwana, Salman Khan, Waluscha De Sousa"
,"Prati Roju Pandage","35.0","58.0",,"Maruthi","Allu Aravind",""
,"Nenu Local",,"58.0",,"Trinandha Rao Nikkana","Dil Raju","Nani, Naveen Chandran"
,"Race (film series)","338.0","578.13",2013-01-25,"Race, Race 2, Race 3, Remo D'Souza","Salman Khan",""
,"Race (film series)","338.0","578.13",2008-03-21,"Race, Race 2, Race 3, Remo D'Souza","Salman Khan",""
,"Race (film series)","338.0","578.13",2018-06-15,"Race, Race 2, Race 3, Remo D'Souza","Salman Khan",""
,"Tiger Zinda Hai","150.0","565.1",,"Ali Abbas Zafar","Aditya Chopra","Angad Bedi, Katrina Kaif, Kumud Mishra, Paresh Rawal, Salman Khan"
,"Munna Bhai M.B.B.S.","1012.0","56.28",,"Rajkumar Hirani","Vidhu Vinod Chopra","Arshad Warsi, Boman Irani, Gracy Singh, Jimmy Sheirgill, Rohini Hattangadi, Sanjay Dutt, Sunil Dutt"
,"Batti Gul Meter Chalu",,"56.0",,"Shree Narayan Singh","Bhushan Kumar, Krishan Kumar, Nishant Pitti, Shree Narayan Singh","Shahid Kapoor, Shraddha Kapoor, Yami Gautam"
"0065484","Bombay Talkie","110.0","55.0",,"James Ivory","Ismail Merchant","Aparna Sen, Jennifer Kendal Kapoor, Shashi Kapoor, Utpal Dutta, Zia Mohyeddin"
,"Tadap (2021 film)","27.0","54.86",,"Milan Luthria","Sajid Nadiadwala","Ahan Shetty, Tara Sutaria"
,"Runway 34","65.0","54.0",,"Ajay Devgn","Ajay Devgn",""
,"Badmaash Company",,"530.0",,"Parmeet Sethi","Aditya Chopra","Anupam Kher, Anushka Sharma, Meiyang Chang, Shahid Kapoor, Shalini Chandran, Vir Das"
,"Love Aaj Kal (2020 film)","40.0","52.6",0000-12-31T00:00:00Z,"Imtiaz Ali","Dinesh Vijan, Imtiaz Ali",""
,"Ninnu Kori","18.0","52.3",,"Shiva Nirvana","D. V. V. Danayya","Aadhi Pinisetty, Nani, Nivetha Thomas"
,"Most Eligible Bachelor",,"51.0",,"Bhaskar","Bunny Vasu, Vasu Varma","Akhil Akkineni, Pooja Hegde"
,"Jugnu (1947 film)",,"5000000.0",1947-05-23,"Shaukat Hussain Rizvi","Shaukat Hussain Rizvi","Dilip Kumar, Noor Jehan"
,"Finding Fanny","29.0","50.61",,", Homi Adajania","Dinesh Vijan","Arjun Kapoor, Deepika Padukone, Dimple Kapadia, Naseeruddin Shah, Pankaj Kapur"
,"Jana Gana Mana (2022 film)",,"50.0",,"Dijo Jose Antony","Listin Stephen",""
"10711648","Comali","15.0","50.0",,"Pradeep Ranganathan","Ishari Velan Ganesh","Jayam Ravi, Kajal Aggarwal"
,"Bommarillu","6.0","50.0",,"Bhaskar","Dil Raju","Genelia D'Souza, Jayasudha Kapoor, Prakash Raj, Siddharth"
,"Vettaiyaadu Vilaiyaadu","24.0","50.0",,"Gautham Vasudev Menon","Seventh Channel Communications","Jyothika, Kamal Haasan"
"0107060","Gumrah (1993 film)",,"5.8E7",1993-08-03,"Mahesh Bhatt","Yash Johar","Anupam Kher, Rahul Roy, Sanjay Dutt, Sridevi"
,"Iqbal (film)","2.25","5.6",,"Nagesh Kukunoor","Subhash Ghai",""
,"Bodyguard (2012 film)",,"5.5E8",,"Gopichand Malineni","Bellamkonda Suresh","Venkatesh"
,"Ganga Ki Saugandh",,"5.5",1978-02-10,"Sultan Ahmed","Sultan Ahmed","Amitabh Bachchan, Amjad Khan, Bindu, Rekha"
,"Muddula Mavayya",,"5.5",,"Kodi Ramakrishna","S. Gopal Reddy","Nandamuri Balakrishna, Vijayashanti"
,"Garam Masala (2005 film)","1.7E8","5.465E8",,"Priyadarshan","Ganesh Jain","Akshay Kumar, Daisy Bopanna, John Abraham, Nargis Bagheri, Neha Dhupia, Paresh Rawal, Rajpal Yadav"
,"Mangal Pandey: The Rising","3.4E8","5.2E8",,"Ketan Mehta","Deepa Sahi, Ketan Mehta","Aamir Khan, Ameesha Patel, Kirron Kher, Rani Mukerji, Toby Stephens"
"0104561","Jo Jeeta Wohi Sikandar",,"5.2E7",,"Mansoor Khan","Nasir Husain","Aamir Khan, Ayesha Jhulka, Deepak Tijori, Kulbhushan Kharbanda, Mamik Singh, Pooja Bedi"
,"Char Dil Char Rahen",,"5.27E7",,"Khawaja Ahmad Abbas","Khawaja Ahmad Abbas","Ajit Khan, Meena Kumari, Nimmi, Raj Kapoor, Shammi Kapoor"
"0095936","Qayamat Se Qayamat Tak",,"5.0E7",,"Mansoor Khan","Nasir Husain","Aamir Khan, Juhi Chawla"
"0246144","Pasivadi Pranam",,"5.0",,"A. Kodandarami Reddy","Allu Aravind","Babu Antony, Chiranjeevi, Raghuvaran, Sujitha Dhanush, Sumalatha, Vijayashanti"
,"Aha Naa-Pellanta! (1987 film)","16.0","5.0",,"Jandhyala‌","D. Ramanaidu","Rajani, Rajendra Prasad"
,"War (2019 film)","150.0","475.0",,"Siddharth Anand","Aditya Chopra","Hrithik Roshan, Tiger Shroff, Vaani Kapoor"
,"Peepli Live","10.0","46.85",,"Anusha Rizvi","Aamir Khan, Kiran Rao","Naseeruddin Shah, Nawazuddin Siddiqui, Omkar Das Manikpuri, Raghubir Yadav"
,"Phillauri (film)","29.0","46.6",,"Anshai Lal","Anushka Sharma","Anushka Sharma, Diljit Dosanjh, Mehreen Kaur Pirzada, Suraj Sharma"
,"Saheb, Biwi Aur Gangster (film series)","53.0","46.23",2011-09-30,"Tigmanshu Dhulia","Tigmanshu Dhulia","Deepak Tijori, Deepraj Rana, Irrfan Khan, Jimmy Sheirgill, Kabir Bedi, Nafisa, Pravesh Rana, Raj Babbar, Randeep Hooda, Sanjay Dutt, Soha Ali Khan, Vipin Sharma"
,"Saheb, Biwi Aur Gangster (film series)","53.0","46.23",2018-07-27,"Tigmanshu Dhulia","Tigmanshu Dhulia","Deepak Tijori, Deepraj Rana, Irrfan Khan, Jimmy Sheirgill, Kabir Bedi, Nafisa, Pravesh Rana, Raj Babbar, Randeep Hooda, Sanjay Dutt, Soha Ali Khan, Vipin Sharma"
,"Saheb, Biwi Aur Gangster (film series)","53.0","46.23",2013-03-08,"Tigmanshu Dhulia","Tigmanshu Dhulia","Deepak Tijori, Deepraj Rana, Irrfan Khan, Jimmy Sheirgill, Kabir Bedi, Nafisa, Pravesh Rana, Raj Babbar, Randeep Hooda, Sanjay Dutt, Soha Ali Khan, Vipin Sharma"
,"Lootera","32.0","46.14",,"Vikramaditya Motwane","Anurag Kashyap, Ekta Kapoor, Shobha Kapoor, Vikas Bahl",""
,"Tevar","34.0","46.0",,"Amit Sharma","Sanjay Kapoor, Sunil Lulla","Arjun Kapoor, Manoj Bajpayee, Sonakshi Sinha"
,"Drushyam","6.0","45.6",,"Sripriya","D. Suresh Babu, Rajkumar Sethupathy","Esther Anil, Meena, Nadhiya, Venkatesh"
,"Tholi Prema (2018 film)",,"45.1",,"Venky Atluri","B. V. S. N. Prasad","Varun Tej"
,"Nani's Gang Leader","25.0","45.0",,"Vikram K. Kumar","Mythri Movie Makers","Nani, Saranya Ponvannan"
,"Devadas (2018 film)",,"45.0",,"Sriram Adittya","Vyjayanthi Movies","Aakanksha Singh, Nagarjuna, Nani, Rashmika Mandanna"
,"Nani's Gang Leader","25.0","45.0",,"Vikram K. Kumar","Mythri Movie Makers","Kartikeya Gummakonda, Lakshmi, Priyanka Mohan"
,"Brahmāstra: Part One – Shiva","375.0","431.0",2022-09-09,"Ayan Mukerji","Ayan Mukerji, Karan Johar, Namit Malhotra, Ranbir Kapoor","Alia Bhatt, Amitabh Bachchan, Dimple Kapadia, Mouni Roy, Nagarjuna, Ranbir Kapoor, Shah Rukh Khan"
,"Hum Tum (film)","85.0","426.3",,"Kunal Kohli","Aditya Chopra","Saif Ali Khan"
,"Vikram (2022 film)","120.0","420.0",,"Lokesh Kanagaraj","Kamal Haasan",""
,"Pichaikkaran",,"42.25",,"Sasi","Vijay Antony","Satna Titus, Vijay Antony"
,"Chandigarh Kare Aashiqui","30.0","41.23",,"Abhishek Kapoor","Bhushan Kumar, Krishan Kumar","Ayushmann Khurrana, Vaani Kapoor"
,"Kick (2014 film)","140.0","402.0",,"Sajid Nadiadwala","Sajid Nadiadwala","Jacqueline Fernandez, Mithun Chakraborty, Nawazuddin Siddiqui, Randeep Hooda, Salman Khan"
,"3 Idiots","55.0","400.61",,"Rajkumar Hirani","Vidhu Vinod Chopra","Aamir Khan, Boman Irani, Kareena Kapoor, Omi Vaidya, R. Madhavan, Sharman Joshi"
,"Radhe Shyam",,"400.0",,"Radha Krishna Kumar","Bhushan Kumar","Pooja Hegde, Prabhas"
"0119861","Pardes (1997 film)","10.0","40.95",,"Subhash Ghai","Subhash Ghai","Alok Nath, Amrish Puri, Apurva Agnihotri, Himani Shivpuri, Mahima Choudhary, Shah Rukh Khan"
,"Swades","25.0","40.0",,"Ashutosh Gowariker","Ashutosh Gowariker","Gayatri Joshi, Kishori Ballal, Shah Rukh Khan"
"0048613","Shree 420",,"4.94E7",,"Raj Kapoor","Raj Kapoor","Nadira, Nargis, Raj Kapoor"
"1085806","Darling (2007 Indian film)","6.5","4.75",,"Ram Gopal Varma","Bhushan Kumar","Esha Deol, Fardeen Khan, Isha Koppikar"
,"Kasme Vaade",,"4.7",,"Ramesh Behl","Ramesh Behl",""
,"Mission Kashmir",,"4.33E8",,"Vidhu Vinod Chopra","Vidhu Vinod Chopra","Hrithik Roshan, Jackie Shroff, Preity Zinta, Sanjay Dutt"
,"Charlie (2015 Malayalam film)",,"4.2E8",,"Martin Prakkat","Joju George, Martin Prakkat","Aparna Gopinath, Dulquer Salmaan, Nedumudi Venu, Soubin Shahir"
,"Dil Hai Ke Manta Nahin",,"4.2E7",,"Mahesh Bhatt","Gulshan Kumar","Aamir Khan, Pooja Bhatt"
,"Aligarh (film)","11.0","4.27",,"Hansal Mehta","Shailesh R Singh","Ashish Vidyarthi, Manoj Bajpayee, Rajkummar Rao"
"0083820","Desh Premee",,"4.2",,"Manmohan Desai","Subhash Desai","Amitabh Bachchan, Amjad Khan, Hema Malini, Kader Khan, Navin Nischol, Parikshit Sahni, Parveen Babi, Prem Chopra, Shammi Kapoor, Sharmila Tagore, Uttam Kumar"
,"Govindudu Andarivadele","3.0E8","4.1E8",,"Krishna Vamsi","Bandla Ganesh","Kajal Aggarwal, Ram Charan"
,"Kabhi Kabhie",,"4.0E7",,"Yash Chopra","Yash Chopra","Amitabh Bachchan, Neetu Kapoor, Rishi Kapoor, Shashi Kapoor, Waheeda Rehman"
,"Krrish 3","95.0","393.37",,"Rakesh Roshan","Rakesh Roshan","Hrithik Roshan, Kangana Ranaut, Priyanka Chopra, Vivek Oberoi"
"tt15309708","Uunchai","25.0","39.73",,"Sooraj R. Barjatya","Sooraj R. Barjatya","Amitabh Bachchan, Anupam Kher, Boman Irani, Danny Denzongpa, Neena Gupta, Parineeti Chopra, Sarika"
,"Tanhaji","125.0","367.65",,"Om Raut","Ajay Devgn, Bhushan Kumar, Krishan Kumar","Ajay Devgn, Kajol, Saif Ali Khan"
,"Bajirao Mastani","145.0","356.2",,"Sanjay Leela Bhansali","Kishore Lulla, Sanjay Leela Bhansali","Deepika Padukone, Priyanka Chopra"
,"Raju Gari Gadhi 2","25.0","35.65",,"Ohmkar","Potluri Vara Prasad","Nagarjuna, Samantha Ruth Prabhu, Seerat Kapoor"
,"Refugee (2000 film)","15.0","35.44",,"J. P. Dutta","J. P. Dutta","Abhishek Bachchan, Kareena Kapoor"
,"Heropanti 2","70.0","35.13",,"Ahmed Khan","Sajid Nadiadwala",""
,"Hello Guru Prema Kosame",,"35.0",,"Trinandha Rao Nikkana","Dil Raju","Anupama Parameswaran, Prakash Raj, Pranitha Subhash, Ram Pothineni"
,"Athidhi",,"35.0",,"Surender Reddy","Ramesh Babu","Amrita Rao, Mahesh Babu"
,"Brindavanam (2010 film)",,"35.0",,"Vamshi Paidipally","Dil Raju","Kajal Aggarwal, N. T. Rama Rao Jr."
,"Kal: Yesterday and Tomorrow","1.0","35.0",2005-09-16,"Ruchi Narain","Sudhir Mishra","Ram Kapoor, Shiney Ahuja"
,"Yaadein (2001 film)","20.0","34.59",,"Subhash Ghai","Subhash Ghai","Amrish Puri, Hrithik Roshan, Jackie Shroff, Kareena Kapoor, Kiran Rathod"
,"Thugs of Hindostan",,"335.0",,"Vijay Krishna Acharya","Aditya Chopra","Aamir Khan, Amitabh Bachchan, Fatima Sana Shaikh, Katrina Kaif"
,"Subramanyam for Sale",,"33.95",,"Harish Shankar","Dil Raju","Adah Sharma, Regina Cassandra"
,"Yashoda (film)","30.0","33.0",,"Hari and Harish","Sivalenka Krishna Prasad",""
,"Tashan (film)","31.0","33.0",,"Vijay Krishna Acharya","Aditya Chopra","Akshay Kumar, Anil Kapoor, Kareena Kapoor, Saif Ali Khan"
,"Bharat (film)","100.0","325.0",,"Ali Abbas Zafar","Alvira Khan Agnihotri, Atul Agnihotri, Bhushan Kumar, Krishan Kumar, Salman Khan","Disha Patani, Dr Mashoor Gulati, Jackie Shroff, Katrina Kaif, Salman Khan"
,"Paheli","140.0","320.0",,"Amol Palekar","Gauri Khan","Amitabh Bachchan, Anupam Kher, Juhi Chawla, Rajpal Yadav, Rani Mukerji, Shah Rukh Khan"
"0976026","Cheeni Kum","11.0","32.03",,"R. Balki","Sunil Manchanda","Amitabh Bachchan, Paresh Rawal, Tabu"
"0419974","Morning Raga","1.5","30.5",,"Mahesh Dattani","K. Raghavendra Rao","Lillete Dubey, Nassar, Perizaad Zorabian, Prakash Kovelamudi, Shabana Azmi"
,"Subramaniapuram","65.0","30.0",,"M. Sasikumar","M. Sasikumar","Ganja Karuppu, Jai, M. Sasikumar, Samuthirakani"
,"Kick (2009 film)",,"30.0",,"Surender Reddy","R. R. Venkat","Ileana D'Cruz, Ravi Teja, Shaam"
"tt13845438","Naane Varuvean",,"30.0",,"Selvaraghavan","Kalaipuli S. Thanu","Dhanush, Elli AvrRam, Indhuja Ravichandran, Yogi Babu"
"1578116","Atithi Tum Kab Jaoge?","1.5E8","3.9E8",,"Ashwni Dhir","Amita Pathak","Ajay Devgn, Konkona Sen Sharma, Paresh Rawal"
,"Sarkar (2005 film)","1.4E8","3.93E8",,"Ram Gopal Varma","Parag Sanghvi, Ram Gopal Varma","Abhishek Bachchan, Amitabh Bachchan, Anupam Kher, Katrina Kaif, Kota Srinivasa Rao, Supriya Pathak"
,"Ajooba",,"3.8E7",1991-04-12,"Shashi Kapoor","Shashi Kapoor","Amitabh Bachchan, Dimple Kapadia, Rishi Kapoor, Sonam"
,"Manto (2018 film)",,"3.71",,"Nandita Das","Ajit Andhare, Nandita Das","Nawazuddin Siddiqui, Rajshri Deshpande, Rasika Dugal, Tahir Raj Bhasin"
"5867800","Aruvi","1.0E7","3.5E8",,"Arun Prabu Purushothaman","S. R. Prabhu","Aditi Balan, Lakshmi Gopalaswamy"
,"Mili (2022 film)",,"3.49",,"Mathukutty Xavier","Boney Kapoor","Janhvi Kapoor, Manoj Pahwa, Sunny Kaushal"
,"The Body (2019 film)",,"3.4",,"Jeethu Joseph","Viacom18 Studios","Emraan Hashmi, Rishi Kapoor, Sobhita Dhulipala, Vedhika"
,"LOC: Kargil","3.3E8","3.167E8",,"J. P. Dutta","J. P. Dutta","Abhishek Bachchan, Ajay Devgn, Manoj Bajpayee, Nagarjuna, Saif Ali Khan, Sanjay Dutt, Sanjay Kapoor"
"0328503","Taj Mahal: An Eternal Love Story","5.0E8","3.11E8",,"Akbar Khan","Akbar Khan","Arbaaz Khan, Kabir Bedi, Manisha Koirala, Sonya Jehan"
,"Talvar (film)","1.5E8","3.0E8",,"Meghna Gulzar","Vineet Jain, Vishal Bhardwaj","Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi"
"0119285","Hero No. 1","6.75E7","3.095E8",,"David Dhawan","Vashu Bhagnani","Govinda, Kader Khan, Karisma Kapoor, Paresh Rawal, Satish Shah, Shakti Kapoor"
,"Sooryavanshi","160.0","294.91",,"Rohit Shetty","Karan Johar, Rohit Shetty",""
,"Jhund (film)","22.0","29.6",,"Nagraj Manjule","Bhushan Kumar, Krishan Kumar, Nagraj Manjule",""
,"Saheb, Biwi Aur Gangster Returns","19.0","28.8",,"Tigmanshu Dhulia","Rahul Mittra, Tigmanshu Dhulia","Irrfan Khan, Jimmy Sheirgill, Soha Ali Khan"
"0119427","Judaai (1997 film)","6.3","28.77",,"Raj Kanwar","Boney Kapoor, Surinder Kapoor","Anil Kapoor, Sridevi, Urmila Matondkar"
,"Pataas",,"28.7",,"Anil Ravipudi","Nandamuri Kalyan Ram","Ashutosh Rana, Nandamuri Kalyan Ram, Shruti Sodhi"
,"Mr. Perfect (film)",,"28.1",,"Dasaradh","Dil Raju","Kajal Aggarwal, Prabhas, Taapsee Pannu"
"0136352","Koyla","12.0","28.05",,"Rakesh Roshan","Rakesh Roshan","Amrish Puri, Madhuri Dixit Nene, Shah Rukh Khan"
,"Maine Pyar Kiya","2.0","28.0",,"Sooraj R. Barjatya","Tarachand Barjatya","Bhagyashree, Salman Khan"
,"Desoddharakulu",,"270.0",,"C. S. Rao","U. Visweswar Rao","N. T. Rama Rao, Vanisri"
"1176960","One Two Three",,"27.0",,"Ashwni Dhir","Sunil Lulla","Esha Deol, Paresh Rawal, Sameera Reddy, Tanishaa Mukerji, Upen Patel"
,"Manchi Manushulu",,"27.0",,"V. B. Rajendra Prasad","V. B. Rajendra Prasad","Manjula Vijaykumar, Sobhan Babu"
,"Jayeshbhai Jordaar","86.0","26.31",,"Divyang Thakkar","Aditya Chopra, Maneesh Sharma",""
,"Simhadri (2003 film)","8.5","26.0",,"S. S. Rajamouli","V. Doraswamy Raju","Ankitha Jhaveri, Bhumika Chawla, Mukesh Rishi, N. T. Rama Rao Jr."
,"Simhadri (2003 film)","1800000.0","26.0",,"S. S. Rajamouli","V. Doraswamy Raju","Ankitha Jhaveri, Bhumika Chawla, Mukesh Rishi, N. T. Rama Rao Jr."
,"Tanu Weds Manu: Returns","39.0","255.3",,"Aanand L. Rai","Aanand L. Rai, Krishika Lulla","Deepak Dobriyal, Jimmy Sheirgill, Kangana Ranaut, R. Madhavan"
,"Enthiran",,"250.0",,"Shankar Shanmugam","Kalanithi  Maran","Aishwarya Rai Bachchan, Danny Denzongpa, Rajinikanth"
"tt9165332","Chitralahari (film)",,"25.0",,"Kishore Tirumala","Mythri Movie Makers","Kalyani Priyadarshan, Nivetha Pethuraj"
,"Shailaja Reddy Alludu",,"25.0",,"Maruthi","S. Radha Krishna","Anu Emmanuel, Naga Chaitanya"
,"Ghulam (film)","72.0","242.0",1998-06-19,"Vikram Bhatt","Mukesh Bhatt",""
,"Oke Oka Jeevitham",,"24.0",,"Shree Karthick","S. R. Prabhu",""
,"Ae Dil Hai Mushkil","70.0","239.67",,"Karan Johar","Karan Johar","Aishwarya Rai Bachchan, Anushka Sharma, Ranbir Kapoor"
"11301946","Beast (2022 Indian film)","150.0","236.9",,"Nelson","Kalanithi  Maran",""
,"Rakshasudu (2019 film)",,"23.0",,"Ramesh Varma","Havish Mandhadi","Anupama Parameswaran, Bellamkonda Sreenivas"
,"Dabangg",,"221.14",,"Abhinav Kashyap","Arbaaz Khan, Dhilin Mehta","Arbaaz Khan, Salman Khan, Sonakshi Sinha"
"8959820","Petta (film)","160.0","220250.0",,"Karthik Subbaraj","Kalanithi  Maran","Rajinikanth"
,"Vishwaroopam","95.0","220.0",,"Kamal Haasan","Chandrahasan, Kamal Haasan","Andrea Jeremiah, Jaideep Ahlawat, Kamal Haasan, Pooja Kumar, Rahul Bose, Shekhar Kapur"
,"Kyaa Kool Hai Hum",,"22.88",,"Sangeeth Sivan","Ekta Kapoor, Shobha Kapoor","Anupam Kher, Isha Koppikar, Neha Dhupia, Riteish Deshmukh, Tusshar Kapoor"
"0320097","Hum Kisise Kum Nahin (2002 film)","19.0","22.78",2002-05-31,"David Dhawan","Afzal Khan","Ajay Devgn, Amitabh Bachchan, Sanjay Dutt"
,"Punjab 1984",,"22.64",,"Anurag Singh","Manmord Sidhu","Diljit Dosanjh, Kirron Kher, Pavan Malhotra, Rana Ranbir, Sonam Bajwa"
,"Mumbai Saga","64.0","22.29",,"Sanjay Gupta","Bhushan Kumar, Krishan Kumar","Amole Gupte, Anjana Sukhani, Emraan Hashmi, Gulshan Grover, John Abraham, Kajal Aggarwal, Mahesh Manjrekar, Samir Soni"
,"Kandireega",,"22.0",,"Santosh Srinivas","Bellamkonda Suresh",""
,"Singham Returns","70.0","219.0",,"Rohit Shetty","Ajay Devgn, Reliance Entertainment Pvt Ltd, Rohit Shetty",""
,"Chatrapathi (2005 film)","2800000.0","21.0",,"S. S. Rajamouli","B. V. S. N. Prasad","Bhanupriya, Prabhas, Pradeep Rawat, Shafi, Shriya Saran"
,"Mr. Majnu",,"21.0",,"Venky Atluri","B. V. S. N. Prasad",""
,"Chatrapathi (2005 film)","12.5","21.0",,"S. S. Rajamouli","B. V. S. N. Prasad","Bhanupriya, Prabhas, Pradeep Rawat, Shafi, Shriya Saran"
,"Gangubai Kathiawadi",,"209.77",,"Sanjay Leela Bhansali","Jayantilal Gada, Sanjay Leela Bhansali","Ajay Devgn, Alia Bhatt, Shantanu Maheshwari"
,"Ra.One","100.0","207.0",,"Anubhav","Gauri Khan","Arjun Rampal, Kareena Kapoor, Shah Rukh Khan"
,"Dangal (film)","70.0","2024.0",,"Nitesh Tiwari","Aamir Khan, Kiran Rao, Siddharth Roy Kapur",""
,"Goliyon Ki Raasleela Ram-Leela","88.0","201.4",,"Sanjay Leela Bhansali","Sanjay Leela Bhansali","Deepika Padukone"
"0331639","Shakti: The Power",,"20.36",,"Krishna Vamsi","Boney Kapoor","Karisma Kapoor, Nana Patekar, Sanjay Kapoor, Shah Rukh Khan"
"0813550","Lakshmi (2006 film)","12.0","20.0",,"V. V. Vinayak","Nallamalupu Bujji","Venkatesh"
,"Vunnadhi Okate Zindagi","15.0","20.0",,"Kishore Tirumala","Sravanthi Ravi Kishore","Anupama Parameswaran, Lavanya Tripathi, Ram Pothineni, Sree Vishnu"
,"Shabaash Mithu","48.0","2.89",,"Srijit Mukherji","Ajit Andhare",""
,"1920: Evil Returns","9.0E7","2.804E8",,"Bhushan Patel","Vikram Bhatt","Aftab Shivdasani, Sharad Kelkar, Tia Bajpai, Vidya Malvade"
,"Muqaddar Ka Sikandar",,"2.69E8",1978-10-27,"Prakash Mehra","Prakash Mehra","Amitabh Bachchan, Rekha, Vinod Khanna"
,"Katti Batti","3.4E8","2.59E8",,"Nikkhil Advani","Siddharth Roy Kapur","Kangana Ranaut, Vivan Bhatena"
,"Driver Ramudu",,"2.5",,"K. Raghavendra Rao","Nandamuri Harikrishna, నందమూరి హరికృష్ణ","Jayasudha Kapoor, N. T. Rama Rao"
"0458072","Provoked (film)","1.2E8","2.4E8",,"Jag Mundhra","Sunanda Murali Manohar","Miranda Richardson, Naveen Andrews, Robbie Coltrane"
,"1921 (2018 film)","1.5E8","2.3E8",,"Vikram Bhatt","Vikram Bhatt",""
,"1920 London","2.1E8","2.267E8",,"Tinu Suresh Desai","Vikram Bhatt","Meera Chopra, Sharman Joshi, Vishal Karwal"
"0109555","Darr","3.25E7","2.13E8",,"Yash Chopra","Yash Chopra","Anupam Kher, Dalip Tahil, Juhi Chawla, Shah Rukh Khan, Tanvi Azmi"
,"Joggers' Park (film)","1.5","2.1",2003-09-12,"Anant Balani","Subhash Ghai","Divya Dutta, Perizaad Zorabian"
,"Dilwale Dulhania Le Jayenge","4000000.0","2.0E9",,"Aditya Chopra","Yash Chopra","Kajol, Shah Rukh Khan"
"1043876","Woodstock Villa","3.8E8","2.0E8",,"Hansal Mehta","Ekta Kapoor, Sanjay Gupta","Arbaaz Khan, Gulshan Grover, Neha Oberoi, Sikandar Kher"
,"Kranti","2.0E7","2.0E8",1981-02-06,"Manoj Kumar","Manoj Kumar","Dilip Kumar, Hema Malini, Manoj Kumar, Parveen Babi, Shashi Kapoor, Shatrughan Sinha"
"0247911","Aap Mujhe Achche Lagne Lage",,"2.02",,"Vikram Bhatt","Mohan Kumar","Ameesha Patel, Hrithik Roshan"
,"Paan Singh Tomar (film)","7.0E7","2.018E8",,"Tigmanshu Dhulia","Ronnie Screwvala","Irrfan Khan, Mahie Gill, Nawazuddin Siddiqui, Vipin Sharma"
,"Athirathram (film)",,"2.0",,"I. V. Sasi","Raju Mathew","Mammootty, Mohanlal, Seema"
,"Jamba Lakidi Pamba (1992 film)","50.0","2.0",,"E. V. V. Satyanarayana","D. V. V. Danayya","Aamani, Naresh"
