"imdbid","title","budget","gross","release_date","directors","producers","actors"
,"Shootout at Wadala","50.0","82.0",,"Sanjay Gupta","Ekta Kapoor, Sanjay Gupta, Shobha Kapoor","Anil Kapoor, Kangana Ranaut, Mahesh Manjrekar, Manoj Bajpayee, Sonu Sood, Tusshar Kapoor"
,"Moksha (2001 film)","5.0","82.0",,"Ashok Mehta","Ashok Mehta","Arjun Rampal, Manisha Koirala"
"0064915","Saat Hindustani",,"810000.0",1969-11-07,"Khawaja Ahmad Abbas","Khawaja Ahmad Abbas","Amitabh Bachchan, Anwar Ali, Jalal Agha, Madhu, Utpal Dutta"
,"Thank You (2022 film)","40.0","8.95",,"Vikram K. Kumar","Dil Raju","Avika Gor, Naga Chaitanya, Raashii Khanna"
"0307682","Yeh Dil Aashiqanaa",,"8.79",,"Kukku Kohli","Aruna Irani","Aditya Pancholi, Jividha Sharma, Karan Nath, Rajat Bedi"
,"Guru (2007 film)","2.2E8","8.367E8",,"Mani Ratnam","G. Srinivasan, Mani Ratnam","Abhishek Bachchan, Aishwarya Rai Bachchan, Mithun Chakraborty, R. Madhavan, Vidya Balan"
,"Mother India","6000000.0","8.0E7",,"Mehboob Khan ll","Mehboob Khan ll","Nargis, Raaj Kumar, Rajendra Kumar"
,"Mother India","6000000.0","8.0E7",,"Mehboob Khan ll","Mehboob Khan ll","Sunil Dutt"
,"Kannezhuthi Pottum Thottu","1.0","8.0",,"T. K. Rajeev Kumar","Maniyanpilla Raju","Abbas, Biju Menon, Kalabhavan Mani, Manju Warrier, Thilakan"
,"Kishen Kanhaiya","2.35","8.0",1990-03-09,"Rakesh Roshan","Rakesh Roshan","Anil Kapoor, Madhuri Dixit Nene, Shilpa Shirodkar"
,"Tej I Love You",,"8.0",,"A.Karunakaran","K. S. Rama Rao","Anupama Parameswaran"
,"Shuddh Desi Romance","22.0","76.0",,"Maneesh Sharma","Aditya Chopra","Parineeti Chopra, Vaani Kapoor"
,"Drishyam (film series)","11.0","75.0",2021-02-19,"Jeethu Joseph","Antony Perumbavoor",""
,"The World of Apu",,"75.0",,"Satyajit Ray","Satyajit Ray","Sharmila Tagore, Soumitra Chatterjee"
,"Drishyam (film series)","11.0","75.0",2013-12-19,"Jeethu Joseph","Antony Perumbavoor",""
"3417422","Drishyam","5.0","75.0",,"Jeethu Joseph","Antony Perumbavoor","Ansiba Hassan, Esther Anil, Meena, Mohanlal"
,"Bachchhan Paandey","165.0","73.17",,"Farhad Samji","Sajid Nadiadwala",""
,"Venky Mama","35.0","72.0",,"K. S. Ravindra","D. Suresh Babu","Naga Chaitanya, Payal Rajput, Raashii Khanna, Venkatesh"
